LangCode,English,ChineseS
LC_shop_ultimategiftpackdes,To unlock all the animals + 888000 coins + 1000 diamonds,解锁所有动物获得888000金币和1000钻石
LC_shop_epicanimals,Epic Animals,传奇动物
LC_shop_Cash Cow,Cash Cow,摇钱牛
LC_shop_doublezooincome,Double Zoo Income,每次开门获得双倍金币
LC_shop_missionmule,Mission Mule,任务狂骡
LC_shop_unlimitedmissions,Unlimited Missions,无需等待即可刷新任务
LC_shop_reviveraven,Revive Raven,复活渡鸭
LC_shop_freerevives,Free Revives,一局一次免费复活
LC_shop_luckylamb,Lucky Lamb,幸运羔羊
LC_shop_rareanimalstwice,Rare Animals Appear Twice As Often,稀有动物出现率翻倍
LC_shop_coinpacks,Coin Packs,金币包
LC_shop_ellt,Extra Luxurious Luxury Tour,超经济环保型观光团
LC_shop_executivetour,Executive Tour,业界精英旅行团
LC_shop_celebritytour,Celebrity Tour,超级巨星专场
LC_shop_map,Map,地图
LC_shop_jurassic,Jurassic,侏罗纪
LC_shop_jurassicdes,Buy now or unlock at Jungle 3,到达丛林3或立即购买解锁
LC_shop_olympus,Olympus,奥林匹斯山
LC_shop_olympusdes,Buy now or unlock at  Mountain 3,到达山脉3或立即购买解锁
LC_shop_garden,Garden,花园
LC_shop_gardendes,Buy now or unlock at Outback 3,到达澳洲3或立即购买解锁
LC_shop_greatwall,Great Wall,长城
LC_shop_greatwalldes,Buy now or unlock at Tundra 3,到达极地3或立即购买解锁
LC_shop_hot,HOT,热卖
,,
,,
,,
,,
,Next Cruise Ready,
LC_game_improvement,improvement,提高了
LC_game_bubhabitat,Build and upgrade bison habitat,建造并升级野牛栖息地
LC_game_newmissionappear,New mission will appear,新任务将会出现
LC_game_curprogress,Current Progress,当前进度
LC_game_paused,Paused,暂停中
LC_game_closetotarget,You were so close!,你离目标很近了！
LC_game_almostoverrecord,Almost there!,你快要超过记录了！
LC_game_almostoverrecord1,Distance to your personal best:,距离您的最高记录：
LC_game_personalbest,Personal Best:,最好成绩：
,,
LC_prize_lucklywheel,Luckly Wheel,每日幸运抽奖
LC_prize_spin,Spin,抽奖
LC_prize_spinsleft,Spins Left Today:,本日剩余次数：
LC_prize_duration,Duration,持续时间
LC_prize_respin,Respin,重抽
LC_prize_10mins,Wheel available once every 10 minutes.,10分钟一次哦！
,,
LC_prize_largebundle,Large Bundle,大礼包
LC_prize_startrunfrom,Start each run from 800m,从800米处开始起跑
LC_prize_freerevives,Free revives,奔跑中可免费复活一次
LC_prize_tameanimal,Taming Animals 30% Faster,驯服动物时间减少30%
LC_prize_earn2xcoins,Earn 2X coins in the stampede,奔跑中拾取2倍金币
LC_prize_3xmorerareanimal,300% More Rare Animals,稀有动物出现几率提高300%
LC_prize_rewarddetails,Reward Details,奖励信息
LC_prize_superreward,"Super Reward:
Win a mysterious amount of coins","超级大奖
大量金币免费拿"
LC_prize_freerevives,"For Time Duration:
Free revives","一定时间内
奔跑中可免费复活1次"
LC_prize_earnmorecoin,"For Time Duration:
Earn More Coins in Run","一定时间内
奔跑中可拾取更多金币"
LC_prize_morerareanimals,"For Time Duration:
More Rare Animals","一定时间内
稀有动物出现几率提高"
LC_prize_startfromx,"For Time Duration:
Start from further into the stampede","一定时间内
从更远的距离开始起跑"
LC_prize_fasteranimaltame,"For Time Duration:
Faster Animal Taming","一定时间内
驯服动物所需时间减少"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
LC_tips_morecoins,Get more zoo coins?,想要获取更多的金币？
,,
,,
,,
,,
,,
,,
,,
,,
LC_map_nextstop,Next Stop,下一站
LC_map_tameanimals,Tame {0} animals {2},驯服{0}只动物 {2}
LC_map_tamemoreanimals,Tame {0} more animals,再驯服{0}只动物
LC_map_upgradehabitatto,Upgrade {1} habitat to level {3},将{1}的栖息地升到{3}级
LC_map_upgradehabitatmoretimes,Upgrade your {1} habitat {0} more times,将{1}的栖息地再升级{0}次
LC_map_upgrademoreanimal,Upgrade {0} more {2} animal habitat,再升级{0}个{2}动物栖息地
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
LC_endangeredanimals_unlockmethod,Choose Unlock Method,选择解锁方式
LC_endangeredanimals_coinsunlock,Coins Unlock,金币解锁
LC_endangeredanimals_diamondssunlock,Diamonds Unlock,钻石解锁
,,
,,
LC_endangeredanimals_endangeredanimalsinfested,Endangered Animals Infested,濒危动物出没
LC_endangeredanimals_notexplored,Location Not Explored,地点未发现
LC_endangeredanimals_searchrescue,Search and Rescue!,搜救！
LC_endangeredanimals_zootransferprogram,Zoo Transfer Program,动物园扩张计划
LC_endangeredanimals_newanimalseveryday,New animals every day,每天都有新动物
,,
,,
,,
,,
LC_com_comeagaintomorrow1,Free diamonds already claimed today. Please try again tomorrow.,您已经领取了，明日再来吧！
LC_com_comeagaintomorrow,Out of Chances!Come back tomorrow...,次数用尽明日再来~
LC_freejew_remainingtimes,Remaining times:,剩余次数：
,,
LC_ship_novicegiftpack,Novice Gift Pack,新手礼包
LC_ship_dailygiftpack,Daily Gift Pack,每日礼包
LC_ship_rareanimalsmorechance,Rare animals gain more chance,稀有动物获得几率提高
LC_ship_tapbuffaloselect,Tap on the buffalo enclosure to select it.,点击野牛围栏来选择它。
LC_ship_start1000m,Start from 1000m*,1000米起跑*
,,
,,
,,
LC_teachgame_openthezooearnmoney,To earn some money?open the zoo to visitors!,想赚钱的话?赶紧开门营业吧!
LC_teachgame_buildhabitatcanview,Build a nice habitat so that visitors can view the buffalo.,建造一个漂亮的栖息地使客人们可以参观到你的小牛。
,,
,,
,,
,,
,,
,,
LC_homeinfo_habitatneeded,HABITAT NEEDED!,需要栖息地！
LC_homeinfo_buildahabitat,You need to build a habitat for your animal,你需要为你的动物伙伴建造一处栖息地
LC_homeinfo_lookabilities1,Every epic animal is epic!,每种传奇动物都有它独特的本领！
LC_homeinfo_lookabilities2,Go take a look at their abilities!,马上饲养一只来见识一下它的厉害吧！
LC_homeinfo_pausetakeselfie,Pause while riding to take selfie,游戏中暂停以拍照
LC_homeinfo_maxlevel,Max Level,最高级
LC_homeinfo_fence,Fence,围栏
LC_homeinfo_adm,Adm,管理员
LC_homeinfo_book,Book,图鉴
LC_homeinfo_tamed,tamed,已驯服
LC_homeinfo_upgradeanimals,Upgrade animals to get more skills!,升级动物可以获得更多技能哦!
LC_homeinfo_clickride,Ride into the Savannah to tame new animals and build up your zoo!,点击骑乘进入稀疏草原认识更多新动物哦!
LC_homeinfo_habitat,Habitat,栖息地
LC_homeinfo_level,Level,等级
,,
LC_homeinfo_mysteryanimal,Mystery Animal,神秘动物
LC_homeinfo_upgradebison,Upgrade the bison to get more skills~,升级野牛可以获得更多技能哦~
LC_homeinfo_buildhabitat,Build habitats to catch more animals,建造栖息地抓捕更多动物
LC_homeinfo_findin,Next Level,在….中发现
LC_homeinfo_ride,Ride,骑乘
LC_homeinfo_lassoanimalxp,Lasso rare wild animals to gain XP,套住稀有的野生动物以获得经验值
LC_homeinfo_rareranimalxp,Rarer animals are worth more XP,动物越稀有~获得的经验值越多
LC_homeinfo_nextlevel,Next Level,下一级
,,
,,
,,
LC_newrank_dollarpack,Dollar Pack,一元礼包
LC_onedollar_rewarddes,20 diamonds + 1000 coins + 1000m run*3 + free revive *3,充值1元即可获得礼包钻石20+金币1000+1000米便捷快跑3次+免费复活三次
,,
,,
,,
LC_newrank_friendsranking,Friends Ranking,好友排行榜
LC_newrank_worldranking,World Ranking,世界排行榜
LC_newrank_showoff,Show Off,炫耀一下
LC_newrank_price,Price,门票价格
LC_newrank_distance,Distance,最远米数
LC_newrank_animals,Animals,动物
LC_newrank_coins,Coins,累计金币
LC_newrank_invitefriends,Invite Friends,邀请好友领奖励
LC_newrank_invite,Invite,邀请好友
LC_newrank_invitedec,Invite 5 friends to get 1000 Coins and 10 Diamonds,邀请5个好友  获得1000金币  10钻石
LC_newrank_me,Me,我
,,
,,
,,
,,
,,
LC_invitefriend_ifdoublereward,Invite Friends Double Reward,    邀请好友    双倍奖励
LC_invitefriend_inprogress,In\nprogress,未完成
LC_invitefriend_redeemed,Claimed ,已领取
LC_invitefriend_redeemable,Claimable ,待领取
